Origem do Pedido,Marca,UNIDADE,Data de solicitação,Data da compra,CNPJ,ITEM,Nº do Pedido,Comprador,Nº cotações,Fornecedor,Previsão de Entrega,Pedido Recebido na Unidade,Status da Entrega,Valor,Natureza do Item,Natureza Orçamentária,Centro de Custo,Condição de Pgto.,Observação,NF,Forma de Pagto,Fluig,Data de Pagamento,Competencia certa?,Pagamento realizado com multa?,Valor da multa,Data da Aprovação,Responsável Pgto,Ocorrência,Mês da Ocorrência,Nova data de entrega,Situação,Mês,Mês2,Ano,SLA Pedidos Emergenciais,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Colégio do Salvador,Colégio do Salvador Colégio do Salvador,22/12/2023,22/12/2023,00.709.873/0007-63,2 Bola de tenis,12701,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,26,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Internacional Carajás,22/12/2023,22/12/2023,19.213.316/0024-86,4 Cone-grande,12702,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,88,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01729,Depósito,924678,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Castelo,22/12/2023,22/12/2023,19.213.316/0002-70,8 Colchonete,12703 / 12516,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,631,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01761,Depósito,925674,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Jardim Canadá,22/12/2023,22/12/2023,19.213.316/0016-76,5 Petecas, 12704 / 12863 / 14268,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,607,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01753,Depósito,925547,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Lagoa Santa,22/12/2023,22/12/2023,19.213.316/0017-57,2 Raquete Badmilton / 1 Kit tenis de mesa,12705,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,136,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01857,Depósito,948241,,,,,,Patrício Luã,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Castelo Manacás,22/12/2023,22/12/2023,19.213.316/0007-85,4 Colchonete / 8 Cone-grande,12706,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,311,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Nova Suíça,22/12/2023,22/12/2023,,8 Cone-grande,12707 / 12842 / 14270,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,706,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01751,Depósito,925545,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Ouro Preto,22/12/2023,22/12/2023,19.213.316/0005-13,2 Cone-grande,12708,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,44,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Internacional Pampulha Núcleo da Criança,22/12/2023,22/12/2023,32.230.656/0001-97,1 Cone-grande,12709,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,30,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01712,Depósito,923692,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,ECSA,ECSA Cuiabá,22/12/2023,22/12/2023,01.853.472/0001-50,Kit mini-gol/ 10 cone-grande/ 10 Colchonete,12710,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.611,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01897,Depósito,948253,,,,,,Patrício Luã,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Bangu,26/12/2023,26/12/2023,14.011.425/0011-82,1 Mesa de toto ,12711,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.500,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01704,Depósito,921349,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Bonsucesso,26/12/2023,26/12/2023,14.011.425/0063-03,2 Corda-grande,12712 / 12867,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.095,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01785,Depósito,943615,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
Emergencial,Elite,Elite Bonsucesso,26/12/2023,26/12/2023,14.011.425/0063-03,,,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,2.700,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,02252,Depósito,1012231,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Campo Grande 2,26/12/2023,26/12/2023,14.011.425/0012-63,4 Petecas,12713,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,120,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Cascavel,26/12/2023,26/12/2023,14.011.425/0022-35,1 Rede de volei,12714,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,86,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Dourados,26/12/2023,26/12/2023,17.308.306/0001-02,4 Cone-grande,12715,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,88,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Iguaçuano,26/12/2023,26/12/2023,14.011.425/0040-17,1 Kit Mini-gol ,12716,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,200,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Ilha do Governador,26/12/2023,26/12/2023,14.011.425/0018-59,1 Mesa de toto Basica,12717,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.500,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01714,Depósito,923701,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Mace,26/12/2023,26/12/2023,20.336.383/0001-80,4 Kit ping / 4 Corda-grande,12718,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,260,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Nilópolis,26/12/2023,26/12/2023,14.011.425/0030-45,,,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,130,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,02041,Depósito,967328,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Parque das Laranjeiras,26/12/2023,26/12/2023,14.011.425/0057-65,5 Bola de tenis,12719 / 12872,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,136,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01715,Depósito,923713,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Parque das Laranjeiras,26/12/2023,26/12/2023,14.011.425/0057-65,5 Bola de tenis,12719 / 12872,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,300,Mat. Esportivo,Ativos,Escola - Unidade,30 DIAS,,02043,Depósito,967332,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Ponta Porã,26/12/2023,26/12/2023,19.213.316/0027-29,1 Cora-grande / 1 rede de volei ,12720,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,116,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01845,Depósito,955693,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Realengo,26/12/2023,26/12/2023,28.935.567/0001-79,1 Mesa de Toto,12721,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.745,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01735,Depósito,924948,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Santa Cruz,26/12/2023,26/12/2023,03.519.407/0001-18,4 Cone-grande / 1 Escada agili / 2 Peteca,12722,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,295,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01736,Depósito,925091,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite São João de Meriti,26/12/2023,26/12/2023,14.011.425/0019-30,3 Peteca,12723 / 12868,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,283,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01792,Depósito,928399,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite São José (CEB),26/12/2023,26/12/2023,85.304.913/0001-54,1 Rede de Volei standard / 2 Corda elástica ,12724/ 12877,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,695,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01793,Depósito,928439,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite SJP - Ambiental,26/12/2023,26/12/2023,23.087.296/0001-25,1 corda-grande / 1 rede de volei ,12725,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,116,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01794,Depósito,928462,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite SJP - Centro,26/12/2023,26/12/2023,14.011.425/0051-70,5 Peteca / Rede de Volei ,12726,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,141,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01795,Depósito,928475,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Santo André,26/12/2023,26/12/2023,,1 Rede de Volei ,12727,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,372,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01744,Depósito,925539,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Santo André,26/12/2023,26/12/2023,,,,,3,sportnet,15/01/2024,Sim,Entregue,990,Ativos,Outros,Escola - Unidade,30 DIAS,,01948,Depósito,964368,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Itu,26/12/2023,26/12/2023,"58.975.350/0001-53 (EM), 10.259.846/0001-02 - Faturamento (FUND) e 10.300.657/0001-28 (INFANTIL)",2 Bola de Tenis/ 1 Peteca Badmi / 10 Peteca ,12728,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,166,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Mauá,26/12/2023,26/12/2023,14.011.425/0055-01 (Faturamento) / 14.011.425/0056-84,10 Cone-grande / 3 bola de tenis/ 1 Rede de Volei,12729,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,345,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Piracicaba,26/12/2023,26/12/2023,02.013.256/0001-69,1 Corda-grande / 2 Peteca bad,12730,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,336,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01805,Depósito,929011,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Taboão da Serra,26/12/2023,26/12/2023,20.265.832/0001-47,25 Colchonete de espuma ,12731,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,848,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01724,Depósito,923936,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,ISO,ISO Bessa 2,1ª Janela de Ativos,1ª Janela de Ativos,27.358.371/0002-87,BRINQUEDO 1,13055,Julliene Serapião,Contrato,Pimpão,16/02/2024,Sim,Entregue,17.027,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,27920,Boleto,944375,,,,,,Paula,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Chapecó,1ª Janela de Ativos,1ª Janela de Ativos,01.509.559/0001-04,BRINQUEDO ,13066,Julliene Serapião,Contrato,Freso,08/02/2024,Sim,Entregue,5.774,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,88551,Boleto,1000244,,,,,,Paula,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Carlos Prates,1ª Janela de Ativos,1ª Janela de Ativos,19.213.316/0009-47,BRINQUEDO ,13067,Julliene Serapião,Contrato,Freso,08/02/2024,Sim,Entregue,12.310,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,88550,Boleto,1000222,,,,,,Paula,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Gutierrez,1ª Janela de Ativos,1ª Janela de Ativos,CNPJ: 19.213.316/0013-23 (Gut 1) e 19.213.316/0015-95 (Gut 2),BRINQUEDO ,13068,Julliene Serapião,Contrato,Freso,08/02/2024,Sim,Entregue,12.310,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,88558,Boleto,1000385,,,,,,Paula,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Jardim Canadá,1ª Janela de Ativos,1ª Janela de Ativos,19.213.316/0016-76,BRINQUEDO ,13069,Julliene Serapião,Contrato,Freso,08/02/2024,Sim,Entregue,88.553,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,88553,Boleto,1000259,,,,,,Paula,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Águas Claras Jequitibá,1ª Janela de Ativos,1ª Janela de Ativos,17.160.713/0003-87,BRINQUEDO ,13070,Julliene Serapião,Contrato,Freso,08/02/2024,Sim,Entregue,3.348,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,ISO,ISO Bessa 2,1ª Janela de Ativos,1ª Janela de Ativos,27.358.371/0002-87,BRINQUEDO ,13071,Julliene Serapião,Contrato,Freso,08/02/2024,Sim,Entregue,12.131,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,88555,Boleto,1000315,,,,,,Paula,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,ISO,ISO Campina Grande,1ª Janela de Ativos,1ª Janela de Ativos,27.358.371/0004-49,BRINQUEDO ,13072,Julliene Serapião,Contrato,Freso,08/02/2024,Sim,Entregue,12.131,Ativos,Equipamentos em Geral,Escola - Unidade,30 DIAS,,88552,Boleto,1000251,,,,,,Paula,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Três Rios,26/12/2023,26/12/2023,14.011.425/0036-30,4 Cone-grande,12733,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,218,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01807,Depósito,929032,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Umuarama,26/12/2023,26/12/2023,14.011.425/0053-31,1 Bola de tenis Tubo,12734,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,50,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01737,Depósito,925383,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Vila Valqueire,26/12/2023,26/12/2023,14.011.425/0008-87,1 kit Ping-pong,12735 / 12870,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,610,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01808,Depósito,929052,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Águas Claras Jequitibá,26/12/2023,26/12/2023,17.160.713/0003-87,1 Kit mini-gol/ 4 peteca / 2 peteca bad.,12736 / 12878 / 12519 / 14272,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.833,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01748,Depósito,925542,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Asa Norte,26/12/2023,26/12/2023, 04.559.623/0005-83,8 Corda-grande,12738,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,239,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01895,Depósito,1006814,,,,,,Paula ,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Águas Claras Manacá,26/12/2023,26/12/2023,04.559.623/0002-30,8 Colchonete / 1 Mesa de Toto B.,12737 / 12520/14272,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.723,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,Pedidos juntos,01727,Depósito,924012,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Asa Sul ,26/12/2023,26/12/2023,04.559.623/0006-64,2 Kit mini-gol/ 2 bola de tenis/ 2 Peteca /1 Rede de volei,12739,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.334,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Jardim Botânico,26/12/2023,26/12/2023,04.559.623/0003-11,10 Colchonete / 1 Mesa de toto ,12740,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.839,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Taguatinga 26,26/12/2023,26/12/2023,17.160.713/0001-15,8 Cone-grande / 10 colchonete / 1 rede de volei ,12741,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,600,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Ideal,Ideal Taguatinga 31,26/12/2023,26/12/2023,17.160.713/0002-04,2 corda-grande / 8 cone-grande / 1 mesa de todo ,12742,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.735,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Integrado,Integrado Areião,26/12/2023,26/12/2023,02.852.848/0003-36,16 Cone-grande / 2 corda elastica ,12743,Patrício Luã,3,sportnet,15/01/2024,Sim,Entregue,1.714,Mat. Esportivo,Mat. Esportivo,Escola - Unidade,30 DIAS,,01816,Boleto,929290,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Guarapuava,26/12/2023,26/12/2023,14.011.425/0038-00,MICROFONE KARDOSH,13073,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,640,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00360,Depósito,916182,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Plazza Cascavel,26/12/2023,26/12/2023,14.011.425/0025-88,MICROFONE KARDOSH,13074,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,1.246,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00361,Depósito,916175,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Toledo,26/12/2023,26/12/2023,14.011.425/0027-40,MICROFONE KARDOSH,13075,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,640,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00363,Depósito,914715,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Jardim Canadá,26/12/2023,26/12/2023,19.213.316/0016-76,MICROFONE KARDOSH,13076,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,640,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00342,Depósito,914797,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Ponta Porã,26/12/2023,26/12/2023,19.213.316/0027-29,MICROFONE KARDOSH,13077,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,640,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00365,Depósito,914761,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Curitiba Novo Mundo,26/12/2023,26/12/2023,09.550.552/0001-48,MICROFONE KARDOSH,13078,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,640,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00341,Depósito,914993,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Pensi,Pensi Recreio 2,26/12/2023,26/12/2023,15.539.941/0004-18,MICROFONE KARDOSH,13079,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,640,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00367,Depósito,915006,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Pensi,Pensi Recreio 2,10/01/2024,,15.539.941/0004-18,,12,,,GRX,,, ,619,Ativos,Equipamentos em Geral,,,,00481,Depósito,963729,,,,,,Paula,,,,,1,janeiro,2024,-1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Tijuca 1,26/12/2023,26/12/2023,40.345.365/0001-72,MICROFONE KARDOSH,13080,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,7.510,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00337,Depósito,916193,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Icaraí 1,26/12/2023,26/12/2023,40.345.365/0008-49,MICROFONE KARDOSH,13081,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,1.246,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00336,Depósito,915267,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Icaraí 2,26/12/2023,26/12/2023,40.345.365/0009-20,MICROFONE KARDOSH,13082,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,1.886,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00339,Depósito,915041,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Piratininga,26/12/2023,26/12/2023,40.345.365/0012-25,MICROFONE KARDOSH,13083,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,1.869,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00334,Depósito,915240,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Recreio,26/12/2023,26/12/2023,40.345.365/0014-97,MICROFONE KARDOSH,13084,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,4.361,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00333,Depósito,915087,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Botafogo 2,26/12/2023,26/12/2023,40.345.365/0005-04,MICROFONE KARDOSH,13085,Julliene Serapião,3,GRX,15/01/2024,Sim,Entregue,3.755,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00373,Depósito,915058,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
